A  自分
B  亀 
C  亀 (落ちる)
D  亀 (落ちる×3)
E  ピカチー
F  チコリン
G  ヒノララシ
H  ポッピー 上下
I  ポッピー 直進
J  ポッピー 直進×3
K  動く床 上下
L  動く床 左右
M  動く床 左右×2個
N  ドッスンスン
O  マリリ
P  ヤチャモ
Q  ミズタロウ
R  エアームズ
S  グラーダ
T  カイオール
U  ファイヤーバー 左
V  ファイヤーバー 右
W  タイキング
X  クラゲッソ
Y  水草
Z  センクウザ
a  レンガ
b  岩
c  水色のレンガ
d  鉄
e  鉄の柱１
f  鉄の柱２
g  土
h  城の壁
i  黄色のブロック
j  緑色のブロック
k  コイン
l  コイン３枚
m  ファイヤーボール
n  バリア
o  タイム
p  ジェット
q  ヘルメット
r  しっぽ
s  ドリル
t  グレネード
u  リンク土管１
v  リンク土管２
w  リンク土管３
x  リンク土管４
y  1UP
z  すべる床
1  雲の左側
2  雲の右側
3  草
4  水中
5  上向きのトゲ
6  下向きのトゲ
7  ろうそく
8  星
9  コイン
+  一言メッセージ１
-  一言メッセージ２
*  一言メッセージ３
/  一言メッセージ４
.  空白
